mp_name,state,party,constituency,chamber,year
180103,Delhi,Bharatiya Janata Party,North West Delhi,Lok Sabha,2024
180214,Lakshadweep,Indian National Congress,Lakshadweep,Lok Sabha,2024
180319,Puducherry,Indian National Congress,Puducherry,Lok Sabha,2024
180157,Jharkhand,Bharatiya Janata Party,Chatra,Lok Sabha,2024
180257,Maharashtra,Indian National Congress,Nanded,Lok Sabha,2024
180044,Bihar,Janata Dal (United),Bhagalpur,Lok Sabha,2024
180233,Madhya Pradesh,Bharatiya Janata Party,Dewas,Lok Sabha,2024
180239,Madhya Pradesh,Bharatiya Janata Party,Morena,Lok Sabha,2024
180244,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Hingoli,Lok Sabha,2024
180270,Maharashtra,Bharatiya Janata Party,Ratnagiri-Sindhudurg,Lok Sabha,2024
180408,Telangana,Indian National Congress,Nalgonda,Lok Sabha,2024
180478,Uttar Pradesh,Indian National Congress,Sitapur,Lok Sabha,2024
180505,West Bengal,Bharatiya Janata Party,Kanthi,Lok Sabha,2024
180510,West Bengal,All India Trinamool Congress,Ghatal,Lok Sabha,2024
180539,West Bengal,All India Trinamool Congress,Asansol,Lok Sabha,2024
180064,Bihar,Bharatiya Janata Party,Purvi Champaran,Lok Sabha,2024
180072,Bihar,Bharatiya Janata Party,Patna Sahib,Lok Sabha,2024
180175,Karnataka,Indian National Congress,Koppal,Lok Sabha,2024
180292,Manipur,Indian National Congress,Outer Manipur,Lok Sabha,2024
180418,Uttar Pradesh,Samajwadi Party,Ghazipur,Lok Sabha,2024
180420,Uttar Pradesh,Samajwadi Party,Kannauj,Lok Sabha,2024
180421,Uttar Pradesh,Samajwadi Party,Firozabad,Lok Sabha,2024
180431,Uttar Pradesh,Samajwadi Party,Faizabad,Lok Sabha,2024
180462,Uttar Pradesh,Bharatiya Janata Party,Gautam Buddha Nagar,Lok Sabha,2024
180490,Uttar Pradesh,Samajwadi Party,Pratapgarh,Lok Sabha,2024
180502,West Bengal,Bharatiya Janata Party,Tamluk,Lok Sabha,2024
180507,West Bengal,All India Trinamool Congress,Bolpur,Lok Sabha,2024
180529,West Bengal,All India Trinamool Congress,Howrah,Lok Sabha,2024
180542,West Bengal,All India Trinamool Congress,Kolkata Uttar,Lok Sabha,2024
180540,West Bengal,All India Trinamool Congress,Basirhat,Lok Sabha,2024
180060,Bihar,Rashtriya Janata Dal,Patliputra,Lok Sabha,2024
180078,Bihar,Rashtriya Janata Dal,Jahanabad,Lok Sabha,2024
180284,Maharashtra,Bharatiya Janata Party,Satara,Lok Sabha,2024
180322,Punjab,Independent,Khadoor Sahib,Lok Sabha,2024
180351,Rajasthan,Bharatiya Janata Party,Kota,Lok Sabha,2024
180491,Uttar Pradesh,Bharatiya Janata Party,Unnao,Lok Sabha,2024
900656,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900412,Chhattisgarh,Indian National Congress,nan,Lok Sabha,2024
900622,Kerala,Communist Party of India (Marxist),nan,Lok Sabha,2024
900428,Bihar,Janata Dal (United),nan,Lok Sabha,2024
900706,nan,Nominated,nan,Lok Sabha,2024
900623,Kerala,Communist Party of India (Marxist),nan,Lok Sabha,2024
900096,West Bengal,Communist Party of India (Marxist),nan,Lok Sabha,2024
900391,Maharashtra,Shiv Sena,nan,Lok Sabha,2024
900163,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900125,Jharkhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900639,Kerala,Indian National Congress,nan,Lok Sabha,2024
900694,Haryana,Independent,nan,Lok Sabha,2024
900547,Karnataka,Indian National Congress,nan,Lok Sabha,2024
900672,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900666,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900539,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900674,Maharashtra,Indian National Congress,nan,Lok Sabha,2024
900016,Telangana,Indian National Congress,nan,Lok Sabha,2024
900343,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900675,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900497,Gujarat,Indian National Congress,nan,Lok Sabha,2024
900353,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900654,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900707,Delhi,Aam Aadmi Party,nan,Lok Sabha,2024
900658,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900536,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900214,Telangana,Bharat Rashtra Samithi,nan,Lok Sabha,2024
900567,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900172,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900342,Rajasthan,Indian National Congress,nan,Lok Sabha,2024
900630,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900477,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900215,Chhattisgarh,Indian National Congress,nan,Lok Sabha,2024
900127,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900143,Maharashtra,Nationalist Congress Party,nan,Lok Sabha,2024
900667,Uttar Pradesh,Rashtriya Lok Dal,nan,Lok Sabha,2024
900288,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900535,Odisha,Bharatiya Janata Party,nan,Lok Sabha,2024
900632,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900728,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900644,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900531,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900720,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900637,Kerala,Communist Party of India (Marxist),nan,Lok Sabha,2024
900284,Bihar,Rashtriya Janata Dal,nan,Lok Sabha,2024
900778,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900451,Telangana,Indian National Congress,nan,Lok Sabha,2024
900721,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900035,Bihar,Rashtriya Janata Dal,nan,Lok Sabha,2024
900740,Bihar,Bharatiya Janata Party,nan,Lok Sabha,2024
900708,nan,Nominated,nan,Lok Sabha,2024
900455,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900698,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900643,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900345,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900660,Chhattisgarh,Indian National Congress,nan,Lok Sabha,2024
900600,Madhya Pradesh,Indian National Congress,nan,Lok Sabha,2024
900489,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900638,Kerala,Communist Party of India,nan,Lok Sabha,2024
900184,Uttar Pradesh,Samajwadi Party,nan,Lok Sabha,2024
900291,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900478,Delhi,Aam Aadmi Party,nan,Lok Sabha,2024
900772,nan,Nominated,nan,Lok Sabha,2024
900769,nan,Nominated,nan,Lok Sabha,2024
900773,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900782,Jammu and Kashmir,Jammu and Kashmir National Conference,nan,Lok Sabha,2024
900776,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900767,Andhra Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900779,Jammu and Kashmir,Bharatiya Janata Party,nan,Lok Sabha,2024
900780,Jammu and Kashmir,Jammu and Kashmir National Conference,nan,Lok Sabha,2024
900775,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900777,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900768,Assam,Bharatiya Janata Party,nan,Lok Sabha,2024
900774,Tamil Nadu,Makkal Needhi Maiam,nan,Lok Sabha,2024
900727,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900659,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900710,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900741,Chhattisgarh,Bharatiya Janata Party,nan,Lok Sabha,2024
900689,Bihar,Janata Dal (United),nan,Lok Sabha,2024
900682,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900716,Maharashtra,Shiv Sena,nan,Lok Sabha,2024
900437,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900663,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900267,Manipur,Bharatiya Janata Party,nan,Lok Sabha,2024
900729,Himachal Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900742,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900627,Puducherry,Bharatiya Janata Party,nan,Lok Sabha,2024
900662,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900680,Rajasthan,Bharatiya Janata Party,nan,Lok Sabha,2024
900764,Tripura,Bharatiya Janata Party,nan,Lok Sabha,2024
900138,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900190,Kerala,Kerala Congress (M),nan,Lok Sabha,2024
900628,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900743,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900733,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900640,Nagaland,Bharatiya Janata Party,nan,Lok Sabha,2024
900690,Jharkhand,Jharkhand Mukti Morcha,nan,Lok Sabha,2024
900657,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900679,Rajasthan,Indian National Congress,nan,Lok Sabha,2024
900746,Uttar Pradesh,Samajwadi Party,nan,Lok Sabha,2024
900230,Uttar Pradesh,Independent,nan,Lok Sabha,2024
900636,Himachal Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900699,Goa,Bharatiya Janata Party,nan,Lok Sabha,2024
900276,Odisha,Bharatiya Janata Party,nan,Lok Sabha,2024
900655,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900739,Madhya Pradesh,Indian National Congress,nan,Lok Sabha,2024
900422,Uttar Pradesh,Samajwadi Party,nan,Lok Sabha,2024
900389,Bihar,Rashtriya Janata Dal,nan,Lok Sabha,2024
900735,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900683,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900709,Sikkim,Bharatiya Janata Party,nan,Lok Sabha,2024
900700,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900615,Uttarakhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900766,Haryana,Bharatiya Janata Party,nan,Lok Sabha,2024
900635,Assam,United Peoples Party (Liberal),nan,Lok Sabha,2024
900367,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900359,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900673,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900737,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900319,Arunachal Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900420,Haryana,Bharatiya Janata Party,nan,Lok Sabha,2024
900749,Bihar,Rashtriya Janata Dal,nan,Lok Sabha,2024
900066,Odisha,Bharatiya Janata Party,nan,Lok Sabha,2024
900723,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900092,Assam,Bharatiya Janata Party,nan,Lok Sabha,2024
900757,Haryana,Bharatiya Janata Party,nan,Lok Sabha,2024
900026,Assam,Independent,nan,Lok Sabha,2024
900696,nan,Bharatiya Janata Party,nan,Lok Sabha,2024
900087,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900534,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900631,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900490,Bihar,Bharatiya Janata Party,nan,Lok Sabha,2024
900756,Assam,Bharatiya Janata Party,nan,Lok Sabha,2024
900763,Rajasthan,Bharatiya Janata Party,nan,Lok Sabha,2024
900705,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900164,Bihar,Janata Dal (United),nan,Lok Sabha,2024
900736,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900185,Uttar Pradesh,Samajwadi Party,nan,Lok Sabha,2024
900146,Karnataka,Indian National Congress,nan,Lok Sabha,2024
900678,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900759,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900070,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,nan,Lok Sabha,2024
900366,Chhattisgarh,Indian National Congress,nan,Lok Sabha,2024
900317,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900731,Telangana,Indian National Congress,nan,Lok Sabha,2024
900652,Andhra Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900648,Telangana,Bharat Rashtra Samithi,nan,Lok Sabha,2024
900724,Maharashtra,Indian National Congress,nan,Lok Sabha,2024
900254,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900537,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900677,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900617,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900711,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900738,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900634,Assam,Bharatiya Janata Party,nan,Lok Sabha,2024
900761,Bihar,Bharatiya Janata Party,nan,Lok Sabha,2024
900752,Jharkhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900275,Karnataka,Indian National Congress,nan,Lok Sabha,2024
900147,Tamil Nadu,Tamil Maanila Congress (Moopanar),nan,Lok Sabha,2024
900702,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900669,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900377,Maharashtra,Nationalist Congress Party,nan,Lok Sabha,2024
900614,Karnataka,Bharatiya Janata Party,nan,Lok Sabha,2024
900685,nan,Nominated,nan,Lok Sabha,2024
900704,West Bengal,Bharatiya Janata Party,nan,Lok Sabha,2024
900337,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900134,Madhya Pradesh,Indian National Congress,nan,Lok Sabha,2024
900311,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900665,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900413,Rajasthan,Bharatiya Janata Party,nan,Lok Sabha,2024
900714,Haryana,Bharatiya Janata Party,nan,Lok Sabha,2024
900611,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900028,Bihar,Indian National Congress,nan,Lok Sabha,2024
900653,Telangana,Bharat Rashtra Samithi,nan,Lok Sabha,2024
900750,Rajasthan,Bharatiya Janata Party,nan,Lok Sabha,2024
900603,Meghalaya,National Peoples Party,nan,Lok Sabha,2024
900381,Rajasthan,Indian National Congress,nan,Lok Sabha,2024
900684,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900325,Delhi,Aam Aadmi Party,nan,Lok Sabha,2024
900645,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900661,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900765,Andhra Pradesh,Telugu Desam Party,nan,Lok Sabha,2024
900650,Odisha,Biju Janata Dal,nan,Lok Sabha,2024
900681,Rajasthan,Indian National Congress,nan,Lok Sabha,2024
900688,nan,Nominated,nan,Lok Sabha,2024
900719,Rajasthan,Bharatiya Janata Party,nan,Lok Sabha,2024
900713,West Bengal,Bharatiya Janata Party,nan,Lok Sabha,2024
900649,Andhra Pradesh,Telugu Desam Party,nan,Lok Sabha,2024
900753,Maharashtra,Nationalist Congress Party,nan,Lok Sabha,2024
900701,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900646,Punjab,Aam Aadmi Party,nan,Lok Sabha,2024
900715,Maharashtra,Bharatiya Janata Party,nan,Lok Sabha,2024
900612,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900734,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900722,Bihar,Bharatiya Janata Party,nan,Lok Sabha,2024
900732,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900754,Kerala,Communist Party of India,nan,Lok Sabha,2024
900692,Jharkhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900476,Maharashtra,Shiv Sena,nan,Lok Sabha,2024
900717,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900726,Bihar,Janata Dal (United),nan,Lok Sabha,2024
900725,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900703,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900205,Mizoram,Mizo National Front,nan,Lok Sabha,2024
900712,Uttarakhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900755,Kerala,Indian Union Muslim League,nan,Lok Sabha,2024
900664,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900620,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900058,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900101,Assam,Asom Gana Parishad,nan,Lok Sabha,2024
900014,Kerala,Indian Union Muslim League,nan,Lok Sabha,2024
900176,Gujarat,Bharatiya Janata Party,nan,Lok Sabha,2024
900436,Maharashtra,Republican Party of India (A),nan,Lok Sabha,2024
900171,Himachal Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900671,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900691,Bihar,Bharatiya Janata Party,nan,Lok Sabha,2024
900408,Maharashtra,Indian National Congress,nan,Lok Sabha,2024
900676,Uttarakhand,Bharatiya Janata Party,nan,Lok Sabha,2024
900568,Bihar,Rashtriya Lok Morcha,nan,Lok Sabha,2024
900730,Karnataka,Indian National Congress,nan,Lok Sabha,2024
900651,Telangana,Bharat Rashtra Samithi,nan,Lok Sabha,2024
900352,Tamil Nadu,Dravida Munnetra Kazhagam,nan,Lok Sabha,2024
900610,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900771,nan,Nominated,nan,Lok Sabha,2024
900781,Jammu and Kashmir,Jammu and Kashmir National Conference,nan,Lok Sabha,2024
900770,nan,Nominated,nan,Lok Sabha,2024
900762,Maharashtra,Nationalist Congress Party,nan,Lok Sabha,2024
900442,nan,Nominated,nan,Lok Sabha,2024
900505,Maharashtra,Nationalist Congress Party,nan,Lok Sabha,2024
900745,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900744,Uttar Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900533,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900748,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
900159,Karnataka,Janata Dal (Secular),nan,Lok Sabha,2024
900693,Bihar,Rashtriya Janata Dal,nan,Lok Sabha,2024
900349,Tamil Nadu,Indian National Congress,nan,Lok Sabha,2024
900686,nan,Nominated,nan,Lok Sabha,2024
900616,Uttar Pradesh,Bahujan Samaj Party,nan,Lok Sabha,2024
900718,Rajasthan,Indian National Congress,nan,Lok Sabha,2024
900751,Jharkhand,Jharkhand Mukti Morcha,nan,Lok Sabha,2024
900747,West Bengal,All India Trinamool Congress,nan,Lok Sabha,2024
900179,Karnataka,Indian National Congress,nan,Lok Sabha,2024
900687,nan,Nominated,nan,Lok Sabha,2024
900758,Madhya Pradesh,Bharatiya Janata Party,nan,Lok Sabha,2024
