state,male,female,transgender,total_pwd,female_male_ratio,total_electors,pwd_pct,postal_ballot,home_voting_pct,region,accessibility_category,population_category,gender_parity_score
Andaman and Nicobar Islands,1422,1000,0,2422,0.703234881,315148,0.77,201,8.3,South,Moderate,Small,0.703234881
Andhra Pradesh,303008,216333,24,519365,0.713951447,41333702,1.26,12718,2.45,South,Low,Very Large,0.713951447
Arunachal Pradesh,2849,2747,0,5596,0.964197964,892694,0.63,75,1.34,Northeast,Crisis,Small,0.964197964
Assam,98521,95507,13,194041,0.969407538,24506236,0.79,9788,5.04,Northeast,Moderate,Medium,0.969407538
Bihar,452656,294976,39,747671,0.651656004,77089931,0.97,1915,0.26,East,Crisis,Very Large,0.651656004
Chandigarh,2383,1433,0,3816,0.601342845,659805,0.58,74,1.94,North,Crisis,Small,0.601342845
Chhattisgarh,111126,82355,9,193490,0.741095693,20658430,0.94,1453,0.75,Other,Crisis,Medium,0.741095693
DNHDD,1229,790,0,2019,0.642799024,417213,0.48,121,5.99,West,Moderate,Small,0.642799024
Delhi,47561,29912,7,77480,0.628918652,15201936,0.51,783,1.01,North,Crisis,Medium,0.628918652
Goa,5625,3797,1,9423,0.675022222,1179344,0.8,1968,20.89,West,High,Small,0.675022222
Gujarat,217371,158292,10,375673,0.728211215,47982446,0.78,4003,1.07,West,Crisis,Large,0.728211215
Haryana,94177,56094,6,150277,0.595623135,20076768,0.75,3080,2.05,North,Low,Medium,0.595623135
Himachal Pradesh,37243,20532,0,57775,0.551298231,5645579,1.02,10634,18.41,North,High,Medium,0.551298231
Jammu and Kashmir,49241,31671,4,80916,0.643183526,8726281,0.93,2950,3.65,North,Low,Medium,0.643183526
Jharkhand,200966,165235,3,366204,0.822203756,25833046,1.42,1651,0.45,East,Crisis,Large,0.822203756
Karnataka,358847,261108,53,620008,0.727630439,54725675,1.13,22209,3.58,South,Low,Very Large,0.727630439
Kerala,147241,116987,4,264232,0.79452734,27749158,0.95,45096,17.07,South,High,Large,0.79452734
Ladakh,588,539,0,1127,0.916666667,184808,0.61,114,10.12,North,Moderate,Small,0.916666667
Lakshadweep,432,308,0,740,0.712962963,57784,1.28,218,29.46,Other,High,Small,0.712962963
Madhya Pradesh,335560,244394,10,579964,0.728316844,56595333,1.02,12816,2.21,Other,Low,Very Large,0.728316844
Maharashtra,367147,239321,37,606505,0.651839726,92943890,0.65,9146,1.51,West,Crisis,Very Large,0.651839726
Manipur,8137,6189,3,14329,0.76059973,1544652,0.93,1694,11.82,Northeast,Moderate,Small,0.76059973
Meghalaya,6398,5322,0,11720,0.831822445,2226567,0.53,2234,19.06,Northeast,High,Small,0.831822445
Mizoram,1876,1521,0,3397,0.810767591,856364,0.4,268,7.89,Northeast,Moderate,Small,0.810767591
Nagaland,3760,2947,0,6707,0.783776596,1317536,0.51,185,2.76,Northeast,Low,Small,0.783776596
Odisha,298032,225713,49,523794,0.757344849,33666719,1.56,4468,0.85,East,Crisis,Very Large,0.757344849
Puducherry,7078,6062,1,13141,0.856456626,1023699,1.28,1294,9.85,South,Moderate,Small,0.856456626
Punjab,96389,62323,6,158718,0.646577929,21461741,0.74,4203,2.65,North,Low,Medium,0.646577929
Rajasthan,379205,194866,8,574079,0.513880355,53367103,1.08,17108,2.98,North,Low,Very Large,0.513880355
Sikkim,2399,1801,0,4200,0.750729471,464140,0.9,618,14.71,Northeast,Moderate,Small,0.750729471
Tamil Nadu,266945,194776,50,461771,0.72964843,62798065,0.74,41639,9.02,South,Moderate,Large,0.72964843
Telangana,299553,227914,19,527486,0.760846995,33216348,1.59,10557,2,South,Low,Very Large,0.760846995
Tripura,11771,7454,0,19225,0.633251211,1463526,1.31,2686,13.97,Northeast,Moderate,Small,0.633251211
Uttar Pradesh,810449,453133,68,1263650,0.559113528,153569962,0.82,12140,0.96,North,Crisis,Very Large,0.559113528
Uttarakhand,50018,30314,3,80335,0.606061818,8337914,0.96,2820,3.51,North,Low,Medium,0.606061818
West Bengal,298850,208534,16,507400,0.697788188,76010006,0.67,36047,7.1,East,Moderate,Very Large,0.697788188
,0,0,0,9028696,0,0,0,0,0,Other,Crisis,Very Large,0